Company Name,Website,Email,Phone,Fax,Address
A.B.S. Silo- und Förderanlagen GmbH,www.abs-silos.de,info@abs-silos.de,49629164220.0,496292000000.0,A.B.S. Silo- und Förderanlagen GmbHIndustriepark 10074706 OsterburkenDeutschland
A.I.D.A GmbH,www.aidagmbh.de,info@aidagmbh.de,49234298770.0,492343000000.0,A.I.D.A GmbHAm Geraden Weg 144805 BochumDeutschland
A.S.T. Leistungselektronik GmbH,www.astle.de,le@ast.de,493064000000.0,493064000000.0,A.S.T. Leistungselektronik GmbHBrook-Taylor-Str. 1012489 BerlinDeutschland
A.T. Kearney GmbH,www.atkearney.de,N/A,492111000000.0,140211.0,N/A
A1 Digital Deutschland GmbH,www.a1.digital,N/A,435066000000.0,191020.0,N/A
A1 Digital International GmbH,www.a1.digital,N/A,435066000000.0,191020.0,N/A
a3Ds GmbH automated 3D scanning,www.a3ds.de,N/A,4953140000000.0,4953140000000.0,a3Ds GmbH automated 3D scanningVolkmaroder Str. 3938104 BraunschweigDeutschland
AAT ASTON GMBH,www.aston.de,info@aston.de,4991132660.0,499113000000.0,AAT ASTON GMBHKonradstr. 790429 NürnbergDeutschland
AB Elektronik GmbH,www.abelektronik.de,info@abelektronik.de,4923897880.0,492390000000.0,AB Elektronik GmbHFeldmark 5059368 WerneDeutschland
Abacus Maschinenbau GmbH,www.abacus-gmbh.de,info@abacus-gmbh.de,49541990210.0,49541990210.0,Abacus Maschinenbau GmbHEduard-Pestel-Str. 1249080 OsnabrückDeutschland
abas Software GmbH,abas-erp.com,info@abas.de,497220000000.0,49721679651.0,abas Software GmbHGartenstr. 6776135 KarlsruheDeutschland
ABB AG Division Robotics,abb.de/robotics,robotics@de.abb.com,496031850.0,49603185297.0,ABB AG Division RoboticsGrüner Weg 661169 FriedbergDeutschland
ABB Automation Products GmbH Motors & Drives,www.abb.de,motors.drives@de.abb.com,496203710.0,496204000000.0,ABB Automation Products GmbH Motors & DrivesWallstadter Str. 5968526 LadenburgDeutschland
ABB Schweiz AG,www.abb.ch,media.relations@ch.abb.com,4141590000000.0,41585850100.0,ABB Schweiz AGBraun-Boweri-Str. 65400 BadenSchweiz
ABB Stotz-Kontakt GmbH,www.abb.de/stotz-kontakt,info.stotz@de.abb.com,4962220000000.0,4962220000000.0,ABB Stotz-Kontakt GmbHEppelheimer Str. 8269123 HeidelbergDeutschland
Abel GmbH & Co. KG,www.abel.de,mail@abel.de,4941558180.0,494156000000.0,Abel GmbH & Co. KGAbel-Twiete 121514 BüchenDeutschland
Abels & Kemmner GmbH,www.ak-online.de,ak@ak-online.de,49240795650.0,492408000000.0,Abels & Kemmner GmbHKaiserstr. 10052134 HerzogenrathDeutschland
Abnox AG,www.abnox.com,N/A,41417804450.0,256330.0,N/A
ABUS August Bremicker Söhne KG,www.abus.com/ger,info@abus.de,4923356340.0,492336000000.0,ABUS August Bremicker Söhne KGAltenhofer Weg 2558300 WetterDeutschland
Acatec AG,www.acatec.de,acatec@acatec.de,49510891590.0,495109000000.0,Acatec AGAm Spehrteich 1230989 GehrdenDeutschland
ACCIO Catalonia Trade & Investment,www.catalonia.com,N/A,497117000000.0,3970174.0,N/A
ACCRETECH Europe GmbH,www.accretech.de,sf-g-info@accretech.de,4989250000000.0,4989250000000.0,ACCRETECH Europe GmbHLandsberger Str. 39681241 MünchenDeutschland
Acculogic GmbH,www.acculogic.com,sales@acculogic.com,4940557870.0,494056000000.0,Acculogic GmbHPapenreye 5122453 HamburgDeutschland
ACD Elektronik GmbH,www.acd-elektronik.de,info@acd-elektronik.de,4973927080.0,497393000000.0,ACD Elektronik GmbHEngelberg 288480 AchstettenDeutschland
ACE Stoßdämpfer GmbH,www.ace-ace.de,info@ace-ace.de,492174000000.0,492174000000.0,ACE Stoßdämpfer GmbHAlbert-Einstein-Str. 1540764 LangenfeldDeutschland
ACI Laser GmbH,www.aci-laser.de,kontakt@ACI-laser.de,4937120000000.0,493643000000.0,40 Mitarbeiter
ACS-Control-System GmbH Elektronische Kontrollsysteme,www.acs-controlsystem.de,info@acs-controlsystem.de,49872196680.0,498722000000.0,ACS-Control-System GmbH Elektronische KontrollsystemeLauterbachstr. 5784307 EggenfeldenDeutschland
ACTech GmbH,www.actech.de,kmr@actech.de,4937311690.0,493731000000.0,ACTech GmbHHalsbrücker Str. 5109599 FreibergDeutschland
ACTEGA DS GmbH,www.actega.com,info.actega.ds@altana.com,49421390020.0,494214000000.0,ACTEGA DS GmbHStraubinger Str. 1228219 BremenDeutschland
Actemium Controlmatic GmbH,www.actemium.de,info@actemium.de,496950000000.0,495073304.0,Actemium Controlmatic GmbHColmarer Str. 1160528 FrankfurtDeutschland
Actronic-Solutions GmbH,www.actronic-solutions.de,info@actronic-solutions.de,4991960000000.0,499196000000.0,Actronic-Solutions GmbHUntere Bachgasse 5 a91325 AdelsdorfDeutschland
ADACTECH Technologies GmbH,www.adactech.com,info@adactech.com,493082000000.0,493082000000.0,ADACTECH Technologies GmbHNunsdorfer Ring 2912277 BerlinDeutschland
ADDI-DATA GmbH,www.addi-data.de,info@addi-data.com,49722918470.0,4972290000000.0,ADDI-DATA GmbHAirport Boulevard 21077836 RheinmünsterDeutschland
N/A,media.industrie@konradin.de,N/A,8.0,N/A,N/A
ADDITIVE Soft- und Hardware für Technik und Wissenschaft GmbH,www.additive-net.de,info@additive-net.de,496173000000.0,49617277613.0,ADDITIVE Soft- und Hardware für Technik und Wissenschaft GmbHMax-Planck-Str. 22 b61381 FriedrichsdorfDeutschland
"AddUp Fives Machining Systems, Inc.",www.addupsolutions.com,contact@addupsolutions.com,33473152500.0,63118.0,N/A
Adelhelm Kunststoffbeschichtungen GmbH,www.adelhelm.de,info@adelhelm.de,497122000000.0,4971220000000.0,Adelhelm Kunststoffbeschichtungen GmbHArbachtalstr. 3472800 EningenDeutschland
Adents International,www.adents.com,info@adents.com,33169321111.0,33169320101.0,Adents Internationalavenue Carnot 591300 MassyFrankreich
AdeQuate Solutions GmbH,www.AdeQuateSolutions.com,info@AdeQuateSolutions.com,49640373815.0,4978220000000.0,AdeQuate Solutions GmbHWerderstr. 3477933 LahrDeutschland
ADLINK Technology GmbH,adlinktech.com,emea@adlinktech.com,499621000000.0,496214000000.0,ADLINK Technology GmbHHans-Thoma-Str. 1168163 MannheimDeutschland
Adobe Systems GmbH,www.adobe.de,jbaier@adobe.com,4989317050.0,498932000000.0,Adobe Systems GmbHGeorg-Brauchle-Ring 5880992 MünchenDeutschland
Adolf Schuch GmbH Lichttechnische Spezialfabrik,www.schuch.de,info@schuch.de,49624140910.0,4962410000000.0,Adolf Schuch GmbH Lichttechnische SpezialfabrikMainzer Str. 17267547 WormsDeutschland
AdoptSMT Europe GmbH,www.adoptsmt.com,info@adoptsmt.com,43624672440.0,43624672550.0,AdoptSMT Europe GmbHUntersbergstr. 15082 Grödig b. SalzburgÖsterreich
ADS GmbH,www.ads-engineering.ch,info@ads-engineering.ch,41618256899.0,41618211218.0,ADS GmbHHohenrainstr. 104133 Pratteln 1Schweiz
ads-tec GmbH,www.ads-tec.de,mailbox@ads-tec.de,49711458940.0,4970220000000.0,ads-tec GmbHHeinrich-Hertz-Str. 172622 NürtingenDeutschland
AdunaTEC GmbH,www.adunatec.de,info@adunatec.de,4979040000000.0,4979040000000.0,AdunaTEC GmbHBartensteinstr. 2274535 MainhardtDeutschland
ADVANTECH Europe BV Zweigndl. Deutschland,www.advantech.com,info@advantech.de,492104000000.0,4921040000000.0,ADVANTECH Europe BV Zweigndl. DeutschlandHochdahler Str. 1440724 HildenDeutschland
Advantest Europe GmbH,www.advantest.de,info@eu.advantest.com,4989993120.0,498999000000.0,Advantest Europe GmbHStefan-George-Ring 281929 MünchenDeutschland
AEB GmbH,www.aeb.de,info@aeb.de,4971170000000.0,4971170000000.0,AEB GmbHJulius-Hölder-Str. 3970597 StuttgartDeutschland
AED Engineering GmbH,www.aed-engineering.com,information@aed-engineering.com,4989160000000.0,49891600000000.0,AED Engineering GmbHTaunusstr. 5180807 MünchenDeutschland
Aegis Software GmbH,www.aiscorp.com,infode@aiscorp.com,499132000000.0,499132000000.0,Aegis Software GmbHWetterkreuz 27 a91058 ErlangenDeutschland
AERO-LIFT Vakuumtechnik GmbH,www.aero-lift.de,info@aero-lift.de,497429000000.0,4974290000000.0,AERO-LIFT Vakuumtechnik GmbHTurmstr. 172351 GeislingenDeutschland
Aerotech GmbH Elektronische Steuerungen,www.aerotech.com,sales@aerotechgmbh.de,499120000000.0,4991200000000.0,Aerotech GmbH Elektronische SteuerungenGustav-Weißkopf-Str. 1890768 FürthDeutschland
Aerzen Digital Systems GmbH,www.aerzendigital.com,digitalsystems@aerzen.com,49515100000000.0,2631785.0,N/A
N/A,www.aerzen.com,info@aerzen.com,495154810.0,495155000000.0,ca. 2.500 Mitarbeiter (weltweit)
AFB Anlagen- und Filterbau GmbH & Co. KG,www.afb-gmbh.de,info@afb-gmbh.de,49277130070.0,492771000000.0,AFB Anlagen- und Filterbau GmbH & Co. KGAm Tennisplatz35708 HaigerDeutschland
AfB gemeinnützige GmbH,www.afb-group.eu,info@afb-group.eu,492422000000.0,252353.0,N/A
Technische Akademie Wuppertal e.V.,www.taw.de,webmaster@taw.de,4920274950.0,492027000000.0,Technische Akademie Wuppertal e.V.Hubertusallee 1842117 WuppertalDeutschland
AFRISO-EURO-INDEX GmbH,www.afriso.com,info@afriso.de,4971351020.0,497135000000.0,AFRISO-EURO-INDEX GmbHLindenstr. 2074363 GüglingenDeutschland
Agathon AG Maschinenfabrik,www.agathon.ch,info@agathon.ch,41326174500.0,41326174700.0,Agathon AG MaschinenfabrikGurzelenstr. 14512 BellachSchweiz
Agrichema Materialflusstechnik GmbH & Co.KG,www.agrichema.de,info@agrichema.de,49670791400.0,496708000000.0,Agrichema Materialflusstechnik GmbH & Co.KGFeldborn 555444 WaldlaubersheimDeutschland
Agromatic Regelungstechnik GmbH,www.agromatic.de,info@agromatic.de,499739000000.0,495203000000.0,Agromatic Regelungstechnik GmbHStukenbrocker Weg 3833813 OerlinghausenDeutschland
AGT-PSG GmbH & Co. KG,www.agt-psg.de,info@agt-psg.de,49617197500.0,496172000000.0,AGT-PSG GmbH & Co. KGIndustriestr. 8 a61449 SteinbachDeutschland
AGTOS Ges. für Techn. Oberflächen- systeme mbH,www.agtos.de,info@agtos.de,492573000000.0,49257300000000.0,AGTOS Ges. für Techn. Oberflächen- systeme mbHGutenbergstr. 1448282 EmsdettenDeutschland
Aalberts Surface Treatment GmbH,www.aalberts-st.com,kerpen@aalberts-st.com,4922375020.0,492238000000.0,Aalberts Surface Treatment GmbHBoelckestr. 25-5750171 KerpenDeutschland
N/A,www.ahlborn.com,amr@ahlborn.com,49802430070.0,498024000000.0,Ahlborn Meß- und Regelungstechnik GmbHEichenfeldstr. 183607 HolzkirchenDeutschland
AHP Gesellschaft für Informationsverarbeitung mbH,www.ahp-gmbh.de,mail@ahp-gmbh.de,49463161700.0,49463161770.0,AHP Gesellschaft für Informationsverarbeitung mbHHolnisstr. 2024960 GlücksburgDeutschland
aicep Portugal Global Staatl.Agentur für Investitionen u. Handel,www.portugalglobal.pt,aicep.berlin@portugalglobal.pt,49302541060.0,49302541069.0,aicep Portugal Global Staatl.Agentur für Investitionen u. HandelZimmerstr. 5610117 BerlinDeutschland
AICON 3D Systems GmbH,www.aicon.de,info@aicon.de,495316000000.0,495316000000.0,AICON 3D Systems GmbHBiberweg 30 c38114 BraunschweigDeutschland
AiMESS Services GmbH,www.aimess-products.de,info@aimess-products.de,493922000000.0,493922000000.0,AiMESS Services GmbHJohann-Sebastian-Bach-Str. 6039288 BurgDeutschland
AIR LIQUIDE Deutschland GmbH,www.airliquide.de,info@airliquide.de,4921166990.0,492117000000.0,AIR LIQUIDE Deutschland GmbHLuise-Rainer-Str. 540235 DüsseldorfDeutschland
Air-Jet AG,www.air-jet.ch,info@air-jet.ch,41619511375.0,41619511376.0,Air-Jet AGBündtenweg 344434 HölsteinSchweiz
AirCom Pneumatic GmbH,www.aircom.net,info@aircom.net,492103000000.0,4921030000000.0,AirCom Pneumatic GmbHSiemensstr. 1840885 RatingenDeutschland
Airgroup GmbH & Co. KG,www.airgroup.eu,info@airgroup.eu,496420000000.0,4964200000000.0,ca. 430 Mitarbeiter
airpower europe GmbH,www.airpower-gmbh.com,info@airpower-gmbh.com,492225000000.0,4922250000000.0,airpower europe GmbHMaarweg 3053619 RheinbreitbachDeutschland
Airtec Pneumatic GmbH,www.airtec.de,info@airtec.de,496174000000.0,496174000000.0,Airtec Pneumatic GmbHWesterbachstr. 761476 KronbergDeutschland
AIT Austrian Institute of Technology,www.ait.ac.at,office@ait.ac.at,43505504126.0,43505504150.0,AIT Austrian Institute of TechnologyGiefinggasse 41210 WienÖsterreich
Technische Akademie Esslingen e.V.,www.tae.de,info@tae.de,49711340080.0,497113000000.0,70 Mitarbeiter
akf bank GmbH & Co KG,www.akf.de,info@akf.de,49202300000000.0,492023000000000.0,akf bank GmbH & Co KGAm Diek 5042277 WuppertalDeutschland
akYtec GmbH,www.akytec.de,info@akytec.de,4951120000000.0,4951120000000.0,akYtec GmbHVahrenwalder Str. 269 A30179 HannoverDeutschland
Albert Handtmann Armaturenfabrik GmbH & Co. KG,www.handtmann.de,info@handtmann.de,4973513420.0,4973510000000.0,Albert Handtmann Armaturenfabrik GmbH & Co. KGArthur-Handtmann-Str. 1188400 BiberachDeutschland
MOCOM Compounds GmbH & Co. KG,www.mocum.eu,info@mocom.eu,4940781050.0,494078000000.0,MOCOM Compounds GmbH & Co. KGMühlenhagen 3520539 HamburgDeutschland
Albrecht Jung GmbH & Co. KG,www.jung.de,kundencenter@jung.de,4923558060.0,492356000000.0,Albrecht Jung GmbH & Co. KGVolmestr. 158579 SchalksmühleDeutschland
Albrecht Präzision GmbH & Co. KG,www.albrecht-germany.com,info@albrecht-germany.com,49715330060.0,497153000000.0,Albrecht Präzision GmbH & Co. KGAntoniusstr. 2573249 WernauDeutschland
Albrecht Röders GmbH & Co. KG,www.roeders.de,info@roeders.de,49519160343.0,49519160338.0,Albrecht Röders GmbH & Co. KGScheibenstr. 629614 SoltauDeutschland
Alcotec Aluminium Coil Technology GmbH,www.alcotec.net,info@alcotec.net,492334000000.0,4923340000000.0,Alcotec Aluminium Coil Technology GmbHPregelstr. 2058256 EnnepetalDeutschland
Alfa Laval Mid Europe GmbH,www.alfalaval.de,info.mideurope@alfalaval.com,494073000000.0,494073000000.0,rund 16.400 Mitarbeiter
Alfred Kärcher Vertriebs-GmbH,www.kaercher.de,info@vertrieb.kaercher.com,4971959030.0,4971960000000.0,Alfred Kärcher Vertriebs-GmbHFriedrich-List-Str. 471364 WinnendenDeutschland
Alfred Kuhse GmbH,kuhse.de,webmaster@kuhse.de,4941717980.0,494172000000.0,Alfred Kuhse GmbHAn der Kleinbahn 3921423 WinsenDeutschland
Alicona Imaging GmbH,www.alicona.com,info@alicona.com,43316400000000.0,43316400000000.0,Alicona Imaging GmbHDr.-Auner-Str. 21 A8074 RaabaÖsterreich
Alino Industrieservice GmbH,www.alino-is.de,mail@alino-is.de,4921580000000.0,4921580000000.0,Alino Industrieservice GmbHHeidweg 6 b - 841334 NettetalDeutschland
AllCloud GmbH c/o DWF,www.allcloud.io,info@allcloud.io,4989260000000.0,7881675.0,N/A
Allgaier Prologis GmbH,www.allgaier.com,N/A,4973200000000.0,2089231.0,N/A
Allgaier Werke GmbH,www.allgaier-group.de,info@allgaier-group.com,4971613010.0,49716132452.0,Allgaier Werke GmbHUlmer Str. 7573066 UhingenDeutschland
Allied Vision Technologies GmbH,www.alliedvisiontec.de,info@alliedvision.com,49410266880.0,494103000000.0,Allied Vision Technologies GmbHKlaus-Groth-Str. 122926 AhrensburgDeutschland
ALLTEC Angewandte Laserlicht Technologie GmbH,www.fobalaser.com,info@fobalaser.com,4938823550.0,493882000000.0,ALLTEC Angewandte Laserlicht Technologie GmbHAn der Trave 27-3123923 SelmsdorfDeutschland
PSG Germany GmbH,www.psgdover.com,info@psgdover.com,492066000000.0,49284296140.0,PSG Germany GmbHHochstr. 150-15247228 DuisburgDeutschland
ALMIG Kompressoren GmbH,www.almig.de,info@almig.de,4970248020.0,497025000000.0,ALMIG Kompressoren GmbHAdolf-Ehmann-Str. 273257 KöngenDeutschland
ALMIT GmbH,www.almit.de,info@almit.de,496062000000.0,4960620000000.0,ALMIT GmbHUnterer Hammer 364720 MichelstadtDeutschland
Altair Engineering GmbH,www.altair.de,information@altair.de,49703162080.0,497032000000.0,Altair Engineering GmbHCalwer Str. 771034 BöblingenDeutschland
ALTEC GmbH,www.altec.de,info@altec-singen.de,49773187110.0,497732000000.0,ALTEC GmbHRudolf-Diesel-Str. 778224 SingenDeutschland
Altenburger Maschinen Jäckering GmbH,www.jaeckering.de,jaeckering@jaeckering.de,4923814220.0,492381000000.0,Altenburger Maschinen Jäckering GmbHVorsterhauser Weg 4659067 HammDeutschland
Althen GmbH Mess- und Sensortechnik,www.althensensors.com,info@althen.de,49619570060.0,496196000000.0,Althen GmbH Mess- und SensortechnikDieselstr. 265779 KelkheimDeutschland
ALWID GmbH,www.alwid.de,info@alwid.de,49444396630.0,4944432949.0,ALWID GmbHWilder Pool 349413 DinklageDeutschland
AMADA GmbH,www.amada.de,info@amada.de,49210421260.0,4921040000000.0,AMADA GmbHAmada Allee 142781 HaanDeutschland
Amato GmbH,www.amato-gmbh.de,info@amato-gmbh.de,4971910000000.0,4971910000000.0,Amato GmbHEmil-Rathenau-Str. 471522 BacknangDeutschland
AMC Analytik & Meßtechnik GmbH Chemnitz,www.amc-systeme.de,info@amc-systeme.de,49371383880.0,493714000000.0,AMC Analytik & Meßtechnik GmbH ChemnitzHeinrich-Lorenz-Str. 5509120 ChemnitzDeutschland
AMETEK Germany GmbH BU Zygo,www.zygolot.de,zygoinfo.de@ametek.com,4961510000000.0,4961510000000.0,AMETEK Germany GmbH BU ZygoRudolf-Diesel-Str. 1664331 WeiterstadtDeutschland
Ametek GmbH Solartron Metrology Division,www.solartronmetrology.de,N/A,4921600000000.0,1640670.0,N/A
AMETEK GmbH Division CREAFORM Deutschland,www.creaform3d.com,creaform.germany@ametek.com,4971120000000.0,4971120000000.0,AMETEK GmbH Division CREAFORM DeutschlandMeisenweg 3770771 Leinfelden-EchterdingenDeutschland
Ametek GmbH Taylor Hobson Geschäftsbereich Taylor Hobson,https://www.taylor-hobson.com.de/,N/A,1664331.0,N/A,N/A
Andreas Maier GmbH & Co. KG,amf.de,amf@amf.de,4971157660.0,49711575725.0,Andreas Maier GmbH & Co. KGWaiblinger Str. 11670734 FellbachDeutschland
AMKmotion GmbH + Co KG,www.amk-motion.com,info@amk-motion.com,49702150050.0,4970220000000.0,AMKmotion GmbH + Co KGGaußstr. 37-3973230 KirchheimDeutschland
AMO Automatisierung Meßtechnik Optik GmbH,www.amo.at,office@amo.at,437723000000.0,4377230000000.0,AMO Automatisierung Meßtechnik Optik GmbHNöfing 44963 ST. PETERÖsterreich
AmpereSoft GmbH,www.amperesoft.net,info@amperesoft.net,492286000000.0,4922860000000.0,AmpereSoft GmbHJonas-Cahn-Str. 1353115 BonnDeutschland
OSRAM Opto Semiconductors GmbH,www.osram.com,webmaster@osram.de,499418505.0,499414000000.0,OSRAM Opto Semiconductors GmbHLeibnizstr. 493055 RegensburgDeutschland
N/A,www.ams-erp.com,info@ams-erp.com,492131000000.0,4921310000000.0,240 Mitarbeiter
Amsler & Frey AG,www.amsler-frey.ch,info@amsler-frey.ch,41564636070.0,41564636079.0,Amsler & Frey AGFeldstr. 265107 SCHINZNACH-DORFSchweiz
AMSYS GmbH & Co. KG,www.amsys.de,info@amsys.de,4961310000000.0,49613100000000.0,AMSYS GmbH & Co. KGAn der Fahrt 455124 MainzDeutschland
AMTAG Alfred Merkelbach Technologies AG,amtag.net,info@amtag.de,492160000000.0,4921600000000.0,AMTAG Alfred Merkelbach Technologies AGLise-Meitner-Str. 240670 MeerbuschDeutschland
Analog Devices GmbH,www.analog.com,cic@analog.com,498977000000.0,498977000000.0,Analog Devices GmbHOtl-Aicher-Str. 60-6480807 MünchenDeutschland
Analog Microelectronic GmbH,www.analogmicro.de,info@analogmicro.de,496132000000.0,4961320000000.0,Analog Microelectronic GmbHAn der Fahrt 1355124 MainzDeutschland
analyticon instruments gmbh,www.analyticon.eu,info@analyticon.eu,49600393550.0,496004000000.0,analyticon instruments gmbhDieselstr. 1861191 RosbachDeutschland
Analytik Jena AG,www.analytik-jena.com,info@analytik-jena.com,4936417770.0,493642000000.0,Analytik Jena AGKonrad-Zuse-Str. 107745 JenaDeutschland
N/A,www.anca.com,gerinfo@anca.com,49621338100.0,49621335278.0,ANCA Europe GmbHIm Technologiepark 1569469 WeinheimDeutschland
Andreas Karl GmbH & Co. KG,www.karlnet.de,sales@karl.eu,498133170.0,4981331711.0,Andreas Karl GmbH & Co. KGHauptstr. 2685777 FahrenzhausenDeutschland
Andritz AG,www.andritz.com,welcome@andritz.com,4331669020.0,433167000000.0,Andritz AGStattegger Str. 188045 GRAZÖsterreich
Anger Machining GmbH,www.anger-machining.com,office@anger-machining.com,437230000000.0,43723000000000.0,Anger Machining GmbHZaunermühlstr. 34050 TraunÖsterreich
Angst + Pfister AG,www.angst-pfister.com,ch@angst-pfister.com,41443066111.0,41443021871.0,Angst + Pfister AGThurgauerstr. 668052 ZÜRICHSchweiz
ANS answer elektronik Service - & Vertriebs GmbH,www.ans-answer.com,info@ans-answer.com,49604796003.0,496048000000.0,ANS answer elektronik Service - & Vertriebs GmbHHeegwaldring 2563694 LimeshainDeutschland
ANSYS Germany GmbH,www.cfx-germany.com,info-germany@ansys.com,49802490540.0,498025000000.0,ANSYS Germany GmbHStaudenfeldweg 2083624 OtterfingDeutschland
ANT GmbH Antriebstechnik,www.ant-antriebstechnik.de,info@ant-antriebstechnik.de,499722000000.0,4997220000000.0,ANT GmbH AntriebstechnikLondonstr. 1197424 SchweinfurtDeutschland
Antares Vision S.r.l.,www.antaresvision.com,info@antaresvision.com,39307283500.0,39305109958.0,Antares Vision S.r.l.Via del Ferro 1625039 TravagliatoItalien
Anton Paar Germany GmbH,www.anton-paar.com,info.de@anton-paar.com,49711720910.0,497117000000000.0,Anton Paar Germany GmbHHelmuth-Hirth-Str. 673760 OstfildernDeutschland
Anton Paar GmbH,www.anton-paar.com,info.de@anton-paar.com,49711720910.0,497117000000000.0,Anton Paar Germany GmbHHelmuth-Hirth-Str. 673760 OstfildernDeutschland
Antonio Basile GmbH Spanntechnik,www.basilegmbh.de,info@basilegmbh.de,4971340000000.0,4971340000000.0,Antonio Basile GmbH SpanntechnikLerchenstr. 274226 NordheimDeutschland
ANTRIMON Group AG,www.antrimon.com,info@antrimon.com,41566754030.0,41566754031.0,ANTRIMON Group AGGotthardstr. 35630 MuriSchweiz
N/A,https://automationspraxis.industrie.de/,media.industrie.de,497118000000.0,870771.0,N/A
Apex Supply Chain Technologies LLC,www.apexsupplychain.com,info@apexsupplychain.com,15132042100.0,439345040.0,N/A
APIS Informationstechnologien GmbH,www.apis.de,sales@apis.de,49531707360.0,495317000000.0,APIS Informationstechnologien GmbHWolfenbütteler Str. 31 b38102 BraunschweigDeutschland
Apium Additive Technologies GmbH,apiumtec.com,info@indmatec.com,4972170000000.0,49721700000000.0,Apium Additive Technologies GmbHSiemensallee 8476187 KarlsruheDeutschland
Apparate- und Behälterbau Artur Scheffczik GmbH,www.scheffczik.de,info@scheffczik.de,49541959100.0,495420000000.0,Apparate- und Behälterbau Artur Scheffczik GmbHIndustriestr. 2249082 OsnabrückDeutschland
Appenfelder GmbH,www.appenfelder.de,info@appenfelder.de,49226150100.0,851674.0,N/A
Apra-Norm Elektromechanik GmbH,http://www.apra.de,vertrieb@apra.de,4965922040.0,496592000000.0,Apra-Norm Elektromechanik GmbHBei der untersten Mühle 554552 MehrenDeutschland
apra-plast Kunststoffgehäuse- Systeme GmbH,http://www.apra.de,vertrieb@apra.de,4965922040.0,496592000000.0,Apra-Norm Elektromechanik GmbHBei der untersten Mühle 554552 MehrenDeutschland
"aPriori Technologies, Inc.",www.apriori.com,productcost@apriori.com,19783712006.0,19783712008.0,"aPriori Technologies, Inc.Baker Avenue 30001742 ConcordUSA"
APROTECH GmbH,www.aprotech.de,info@aprotech.de,4991170000000.0,4991170000000.0,APROTECH GmbHRathsbergstr. 1790411 NürnbergDeutschland
APS delta GmbH,www.aps-delta.de,issos@aps-delta.de,49772199260.0,497722000000.0,APS delta GmbHMarie-Curie-Str. 1278048 Villingen-SchwenningenDeutschland
APT GmbH Angewandte Physik & Technologie,www.apt-gmbh.net,info@apt-gmbh.net,4956320000000.0,1834497.0,N/A
Aptean DACH GmbH,aptean.de,info@apteandach.com,4972430000000.0,12876275.0,N/A
Aptiv Services Deutschland GmbH,www.aptiv.com,info@aptiv.com,492022910.0,492023000000.0,Aptiv Services Deutschland GmbH42367 WuppertalDeutschland
Arbeitsschutz RAVE GmbH,www.rave-shop.de,info@rave-shop.de,4921520000000.0,4921520000000.0,Arbeitsschutz RAVE GmbHBenrader Str. 5047918 TönisvorstDeutschland
ARBURG GmbH & Co. KG,www.arburg.com,contact@arburg.com,497446330.0,497446000000.0,ARBURG GmbH & Co. KGArthur-Hehl-Str.72290 LoßburgDeutschland
Arca Regler GmbH,www.arca-valve.com,sale@arca-valve.com,49215677090.0,492157000000.0,Arca Regler GmbHKempener Str. 1847918 TönisvorstDeutschland
